"year","title","imdb_id","gross_inflation","rank_unadjusted_inflation"
1963,"It's a Mad, Mad, Mad, Mad World (1963)","tt0057193",473894000,1553
1997,"Men in Black (1997)","tt0119654",473856000,92
2015,"Avengers: Age of Ultron (2015)","tt2395427",473701000,9
1957,"The Bridge on the River Kwai (1957)","tt0050212",473280000,2407
2009,"Transformers: Revenge of the Fallen (2009)","tt1055369",466320000,20
1984,"Indiana Jones and the Temple of Doom (1984)","tt0087469",466071000,200
2002,"Star Wars: Episode II - Attack of the Clones (2002)","tt0121765",465697000,46
1993,"Mrs. Doubtfire (1993)","tt0107614",460217000,123
1970,"MASH (1970)","tt0066026",458013000,789
2010,"Toy Story 3 (2010)","tt0435761",457605000,15
1992,"Aladdin (1992)","tt0103639",454916000,130
2013,"The Hunger Games: Catching Fire (2013)","tt1951264",454797000,12
1991,"Beauty and the Beast (1991)","tt0101414",452565000,124
1990,"Ghost (1990)","tt0099653",448369000,127
2012,"The Hunger Games (2012)","tt1392170",445930000,17
2001,"Monsters, Inc. (2001)","tt0198781",445760000,66
1957,"Peyton Place (1957)","tt0050839",445440000,2505
2003,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)","tt0325980",440050000,50
2013,"Iron Man 3 (2013)","tt1300854",437675000,16
1997,"The Lost World: Jurassic Park (1997)","tt0119567",434052000,112
1989,"Indiana Jones and the Last Crusade (1989)","tt0097576",431713000,165
2013,"Frozen (2013)","tt2294629",429114000,21
1959,"Some Like It Hot (1959)","tt0053291",426471000,2568
2007,"Spider-Man 3 (2007)","tt0413300",426148000,34
1991,"Terminator 2: Judgment Day (1991)","tt0103064",423634000,151
1986,"Top Gun (1986)","tt0092099",422102000,201
1954,"The Caine Mutiny (1954)","tt0046816",421467000,2748
1999,"Toy Story 2 (1999)","tt0120363",421299000,94
2000,"How the Grinch Stole Christmas (2000)","tt0170016",419666000,79
2011,"Harry Potter and the Deathly Hallows: Part 2 (2011)","tt1201607",417995000,22
2001,"Shrek (2001)","tt0126029",411943000,75
1967,"Guess Who's Coming to Dinner (1967)","tt0061735",411075000,1254
1986,"Crocodile Dundee (1986)","tt0090555",410377000,215
2007,"Shrek the Third (2007)","tt0413267",405916000,39
2003,"The Matrix Reloaded (2003)","tt0234215",405423000,68
2007,"Transformers (2007)","tt0418279",403387000,40
1974,"Young Frankenstein (1974)","tt0072431",401503000,728
1998,"Saving Private Ryan (1998)","tt0120815",400682000,133
1945,"Mom and Dad (1945)","tt0040603",397714000,3246
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)","tt0363771",396318000,62
1978,"Every Which Way But Loose (1978)","tt0077523",394103000,549
2013,"Despicable Me 2 (2013)","tt1690953",393801000,27
2005,"Harry Potter and the Goblet of Fire (2005)","tt0330373",393604000,65
2002,"Harry Potter and the Chamber of Secrets (2002)","tt0295297",392324000,77
2004,"Meet the Fockers (2004)","tt0290002",390870000,71
2007,"Pirates of the Caribbean: At World's End (2007)","tt0449088",390741000,47
1993,"The Fugitive (1993)","tt0106977",386667000,185
2011,"Transformers: Dark of the Moon (2011)","tt1399103",386179000,29
2008,"Iron Man (2008)","tt0371746",385320000,41
1982,"An Officer and a Gentleman (1982)","tt0084434",384694000,384
2008,"Indiana Jones and the Kingdom of the Crystal Skull (2008)","tt0367882",384109000,43
1984,"Gremlins (1984)","tt0087363",383214000,294
1978,"Jaws 2 (1978)","tt0077766",382949000,571
1990,"Dances with Wolves (1990)","tt0099348",378440000,183
2000,"Cast Away (2000)","tt0162222",377699000,110
1968,"2001: A Space Odyssey (1968)","tt0062622",376557000,1252
1998,"Armageddon (1998)","tt0120591",374712000,155
